Carga;Bodega;Fecha;Tipo;Tran_nbr;Tienda;Guias;Detalles;Cant_Wms;Procesado_jda;Encontrados
635365;200;2017-12-06 04:20:38.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635353;012;2017-12-06 04:22:22.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635377;200;2017-12-06 04:26:05.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635380;200;2017-12-06 04:30:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635381;200;2017-12-06 04:30:50.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635358;200;2017-12-06 04:33:26.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635382;012;2017-12-06 04:36:41.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635384;200;2017-12-06 04:39:18.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635371;200;2017-12-06 04:40:00.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635392;200;2017-12-06 04:41:22.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635387;200;2017-12-06 04:42:34.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635397;200;2017-12-06 04:49:06.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635372;012;2017-12-06 04:52:54.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635370;012;2017-12-06 04:53:17.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635395;200;2017-12-06 04:58:05.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635391;200;2017-12-06 04:58:58.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635398;200;2017-12-06 05:00:00.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635385;200;2017-12-06 05:01:35.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635393;200;2017-12-06 05:01:46.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635396;200;2017-12-06 05:01:56.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635394;200;2017-12-06 05:02:05.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635399;200;2017-12-06 05:04:09.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635400;200;2017-12-06 05:05:57.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635389;200;2017-12-06 05:19:13.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635388;200;2017-12-06 05:19:52.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635401;200;2017-12-06 05:21:34.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635402;200;2017-12-06 05:37:01.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635403;200;2017-12-06 05:43:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635404;200;2017-12-06 05:51:48.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635408;200;2017-12-06 06:14:34.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635383;200;2017-12-06 06:30:49.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635232;200;2017-12-06 07:13:57.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635386;012;2017-12-06 07:22:37.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635233;200;2017-12-06 07:23:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635409;200;2017-12-06 07:23:14.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635407;012;2017-12-06 07:27:11.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635410;012;2017-12-06 07:32:22.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635412;012;2017-12-06 07:37:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635411;200;2017-12-06 07:37:07.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635413;012;2017-12-06 07:44:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635414;012;2017-12-06 07:52:40.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635235;200;2017-12-06 07:54:02.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635236;200;2017-12-06 07:54:15.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635237;200;2017-12-06 07:54:21.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635238;200;2017-12-06 07:54:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635239;200;2017-12-06 07:54:35.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635240;200;2017-12-06 07:54:41.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635241;200;2017-12-06 07:55:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635415;012;2017-12-06 07:58:57.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635406;012;2017-12-06 07:59:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635405;012;2017-12-06 08:07:38.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635272;012;2017-12-06 08:09:25.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635108;012;2017-12-06 08:31:04.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635442;012;2017-12-06 08:32:38.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634990;012;2017-12-06 08:54:44.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635100;012;2017-12-06 08:55:52.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635197;012;2017-12-06 09:06:20.0;CTL;-;-;-;-;-;-;No encontrado en JDA
